NAME,MSINI,RA,DEC,A,PER,ECC,OM,T0,MSTAR,STAR,RSTAR,TEFF
Kepler-143 b,,19.87118056,49.4126,0.124306,16.007583,,90,2454975.637,,Kepler-143,1.359,5848
Kepler-189 c,,19.17098056,44.305,0.144846,20.134866,,90,2455004.366,,Kepler-189,0.75,5235
HD 38529 c,12.2603,5.776377778,1.168538889,3.6002,2146.0503,0.355094,17.9023,2452255.921,1.34,HD 38529,2.02418,5674
Kepler-62 b,,18.88084972,45.34986111,0.0552794,5.714932,0.0707107,278.13,2455001.21,0.69,Kepler-62,0.64,4925
Kepler-281 b,,19.60721111,44.7707,0.117153,14.646008,,90,2454969.517,,Kepler-281,0.899,5723
Kepler-196 c,,18.9979,42.0792,0.256426,47.427737,,90,2455049.554,,Kepler-196,0.782,5128
Kepler-238 c,,19.19313889,40.63781944,0.0657332,6.155557,,90,2454967.823,,Kepler-238,1.43,5751
Kepler-49 c,,19.48630583,40.59177778,0.07889,10.9129343,,,,0.55,Kepler-49,0.53,3974
Kepler-55 c,,19.0112225,44.02644444,0.202122,42.1516418,,,,0.62,Kepler-55,0.58,4362
WASP-19 b,1.11405,9.894465833,-45.65916667,0.0163152,0.78884,0.0046,3,2455168.771,0.93,WASP-19,0.99,5500
Kepler-310 d,,19.25596111,46.98673889,0.401368,92.876125,,90,2454978.926,,Kepler-310,0.876,5797
Kepler-204 c,,19.02315,41.76191944,0.170262,25.660593,,90,2454988.152,,Kepler-204,1.238,5812
Kepler-26 b,,18.99606639,46.56652778,0.0902469,12.282356,0,90,2454978.832,0.65,Kepler-26,0.59,3933
Kepler-374 c,,19.60918889,42.3705,0.0432285,3.282807,,90,2454964.9,,Kepler-374,0.911,5977
Kepler-395 b,,19.56741111,45.13658889,0.0719854,7.054346,,90,2454969.191,,Kepler-395,0.556,4262
HD 126614 A b,0.385706,14.44676944,-5.177419444,2.36847,1244,0.41,243,2453808,1.145,HD 126614 A,1.10978,5585
Kepler-80 e,,19.74083889,39.97878056,0.0544864,4.645387,,90,2454967.587,,Kepler-80,0.637,4613
Kepler-83 d,,18.8155,43.66563056,0.0585134,5.169796,,90,2455005.631,,Kepler-83,0.594,4648
Kepler-167 b,,19.51056111,38.34538889,0.0524957,4.393147,,90,2455005.867,,Kepler-167,0.696,4796
Kepler-295 d,,19.02306111,45.36778056,0.204929,33.884054,,90,2454993.006,,Kepler-295,0.898,5603
Kepler-337 b,,19.33736944,47.16396111,0.043316,3.292781,,90,2454966.01,,Kepler-337,1.761,5684
HD 177830 b,1.31967,19.08911111,25.92078611,1.13872,410.1,0.096,189,2450254,1.17,HD 177830,3.99397,4752
Kepler-226 d,,19.49173889,47.88098889,0.0789926,8.109044,,90,2454965.803,,Kepler-226,0.802,5571
HD 38283 b,0.338157,5.617147222,-73.69908333,1.02382,363.2,0.41,219,2450802.6,1.085,HD 38283,1.50465,5998
Kepler-386 b,,19.32393056,48.69385,0.104341,12.31043,,90,2454974.863,,Kepler-386,0.767,5178
HD 217786 b,13.1868,23.05229444,-0.429211111,2.3791,1319,0.4,100,2456053,1.02,HD 217786,1.15058,5966
Kepler-363 c,,18.87946944,41.30538889,0.0752686,7.542427,,90,2454965.954,,Kepler-363,1.485,5593
Kepler-24 d,,19.36088056,38.34375,0.0513038,4.244384,,90,2454970.064,,Kepler-24,1.289,5897
HD 32518 b,3.34549,5.160172222,69.63955556,0.595162,157.54,0.01,306.11,2452950.29,1.13,HD 32518,24.3641,4580
Kepler-402 c,,19.22468056,43.35461111,0.0655142,6.124821,,90,2454967.936,,Kepler-402,1.264,6090
WASP-18 b,10.0636,1.623613889,-45.67793056,0.0201401,0.9414529,0.00848,267.9,2454664.429,1.22,WASP-18,1.216,6400
CoRoT-6 b,2.95325,18.73816833,6.663194444,0.0854177,8.886593,0,90,2454595.614,1.05,CoRoT-6,1.025,6090
Kepler-127 c,,19.01266944,46.02796111,0.186396,29.393195,,90,2455042.067,,Kepler-127,1.359,6106
Kepler-203 c,,19.806,41.38803056,0.0600193,5.370647,,90,2455005.237,,Kepler-203,1.114,5821
HD 73267 b,3.06257,8.604958333,-34.46027778,2.19849,1260,0.256,229.1,2451821.7,0.89,HD 73267,1.16642,5317
HD 147513 b,1.17965,16.40034444,-39.19298889,1.30958,528.40002,0.26,282,2451123,1.072,HD 147513,0.850084,5929.74
HD 72659 b,3.1741,8.567572222,-1.567977778,4.75375,3658,0.22,260.7,2455351,1.068,HD 72659,1.34287,5919.51
BD +14 4559 b,1.51929,21.226625,14.68938333,0.775866,268.94,0.29,87.64,2453293.71,0.86,BD +14 4559,0.725686,4814
Kepler-79 b,,20.03447611,44.3815,0.114456,13.485,,,,1.1,Kepler-79,1.1,6187
Kepler-202 b,,18.86488889,41.32201111,0.0498841,4.069427,,90,2455004.016,,Kepler-202,0.667,4668
HD 197037 b,0.807324,20.65916944,42.24908889,2.07477,1035.7,0.22,298,2451353.1,1.11,HD 197037,1.09866,6150
HD 70642 b,1.90944,8.357858334,-39.70595833,3.18072,2068,0.034,205,2451350,1.002,HD 70642,1.03139,5705.54
KELT-2 A b,1.52019,6.177591667,30.95714722,0.0549707,4.1137912,0,90,2455974.603,1.308,KELT-2 A,1.828,6151
Kepler-10 b,0.0142142,19.04529528,50.24130556,0.0167573,0.837495,0,90,2454964.574,0.895,Kepler-10,1.056,5627
Kepler-208 e,,19.59268056,42.52796944,0.125606,16.259458,,90,2454945.014,,Kepler-208,1.314,6092
Kepler-270 c,,18.81333889,44.4223,0.168498,25.262887,,90,2454967.212,,Kepler-270,1.461,6067
Kepler-225 c,,19.4796,47.45708889,0.138343,18.794234,,90,2455010.794,,Kepler-225,0.48,3682
Kepler-150 d,,19.21561111,40.5209,0.105752,12.56093,,90,2454999.796,,Kepler-150,0.939,5560
Kepler-405 b,,19.4273,38.34001944,0.0945195,10.613839,,90,2455196.737,,Kepler-405,0.893,5818
Kepler-208 b,,19.59268056,42.52796944,0.0511769,4.22864,,90,2455003.742,,Kepler-208,1.314,6092
M 67 YBP 1194 b,0.346328,8.850225,11.81465556,0.0715732,6.958,0.24,98.62,2455978.8,1.01,M 67 YBP 1194,1.01765,5780
Kepler-325 d,,19.32236111,49.82563056,0.223972,38.715185,,90,2454967.031,,Kepler-325,1.003,5752
Kepler-340 c,,19.7289,40.30056944,0.157474,22.824669,,90,2454977.466,,Kepler-340,1.85,6620
HD 40307 c,0.0211468,5.901194444,-60.023325,0.0800702,9.62,0,0,2454551.53,0.74,HD 40307,0.839223,4977
HD 142 b,1.3057,0.105183333,-49.07509444,1.04292,350.3,0.26,303,2451963,1.232,HD 142,1.5121,6248.6
Kepler-257 b,,19.82106944,46.02326111,0.0349126,2.382667,,90,2455003.663,,Kepler-257,1.037,5180
WASP-10 b,3.19034,23.26619417,31.46283333,0.0384536,3.0927616,0.0507142,153.283,2454664.537,0.79,WASP-10,0.698,4675
GJ 328 b,2.3,8.918777778,1.549047222,4.43476,4100,0.37,290,2454500,0.69,GJ 328,,3900
WASP-17 b,0.507667,15.99748528,-28.06175,0.0499354,3.735433,0,90,2454559.181,1.19,WASP-17,1.2,6550
HAT-P-17 b,0.530106,21.63575889,30.48872222,0.0882385,10.338523,0.346,201,2454792.87,0.857,HAT-P-17,0.837,5246
Kepler-162 b,,19.81858889,43.72401944,0.0710671,6.919798,,90,2454967.119,,Kepler-162,0.958,5816
Kepler-293 c,,19.09053889,42.40651111,0.280136,54.155743,,90,2455005.365,,Kepler-293,0.957,5804
HD 102329 b,4.47808,11.77963056,3.474338889,1.80892,778.1,0.211,178,2455096,1.3,HD 102329,7.27206,4745
HD 159868 b,2.20004,17.64991944,-43.14510278,2.29553,1178.4,0.01,350,2453435,1.16,HD 159868,1.84825,5558
Kepler-262 c,,19.38191111,37.25265,0.152976,21.853722,,90,2454977.315,,Kepler-262,0.881,5841
WASP-75 b,1.06236,22.82571333,-10.67552778,0.0375112,2.484193,0,90,2456016.267,1.14,WASP-75,1.26,6100
Kepler-222 b,,19.19373889,46.93776944,0.0487958,3.936981,,90,2455002.651,,Kepler-222,0.869,5433
Kepler-334 b,,19.14271111,47.11518889,0.0607596,5.470319,,90,2454964.495,,Kepler-334,1.068,5828
HD 114783 b,1.10505,13.21218611,-2.265063889,1.15987,493.7,0.144,86,2453806,0.853,HD 114783,0.837785,5135.09
GJ 581 e,0.00613456,15.32431944,-7.722038889,0.028459,3.14945,0.32,236,2454750.31,0.31,GJ 581,0.299,3498
Kepler-327 c,,19.50948889,44.08766944,0.0588339,5.212333,,90,2454965.707,,Kepler-327,0.492,3799
epsilon Ret b,1.37669,4.274744444,-59.30175,1.19471,428.1,0.06,216,2450836,1.24,epsilon Ret,3.51559,4781
GJ 674 b,0.034879,17.47762778,-46.89305278,0.0386657,4.6938,0.2,143,2453780.085,0.35,GJ 674,,3600
Kepler-57 c,,19.57608556,44.65702778,0.0942979,11.6092567,,,,0.83,Kepler-57,0.73,5145
HD 168443 c,17.3857,18.33444167,-9.595177778,2.85281,1749.83,0.2113,64.87,2455599.9,0.995,HD 168443,1.58859,5491
Kepler-172 c,,18.89123056,41.82186111,0.0673847,6.388996,,90,2455008.474,,Kepler-172,1.085,5526
Kepler-400 c,,19.3963,40.48003889,0.131115,17.340824,,90,2454971.967,,Kepler-400,1.145,5886
Kepler-220 e,,19.43373889,46.89573889,0.250899,45.902733,,90,2454999.563,,Kepler-220,0.666,4632
WASP-57 b,0.675475,14.92133889,-2.057638889,0.0386362,2.838971,0,90,2455717.878,0.954,WASP-57,0.836,5600
HAT-P-37 b,1.1719,18.95307167,51.26911111,0.0379273,2.79736,0.058,164,2455642.67,0.929,HAT-P-37,0.877,5500
Kepler-198 c,,19.37821111,38.69101111,0.264081,49.567416,,90,2455002.54,,Kepler-198,0.94,5574
Kepler-249 b,,19.799,43.65851944,0.0434366,3.306539,,90,2454967.371,,Kepler-249,0.482,3568
HD 81040 b,6.87654,9.396438889,20.36436667,1.9372,1001.7,0.526,81.3,2452504,0.96,HD 81040,0.918818,5700
HD 208527 b,10.014,21.93999444,21.23982222,2.099,875.5,0.08,278,2450745.3,1.6,HD 208527,41.0489,4035
Kepler-165 b,,18.71273056,47.80973889,0.0794582,8.180848,,90,2455009.701,,Kepler-165,0.77,5211
Kepler-28 b,,19.47580194,42.42941667,0.0581375,5.91213,0,90,2454975.623,0.75,Kepler-28,0.7,4590
Kepler-118 c,,19.94753889,41.42483056,0.145024,20.17202,,90,2454974.208,,Kepler-118,1.094,5274
HAT-P-32 b,0.861357,2.069521667,46.68783333,0.0342627,2.150008,0,0,2454415.982,1.16,HAT-P-32,1.219,6207
GJ 163 c,0.0215524,4.154069444,-53.37511389,0.125354,25.63058,0.099,3.962,2452922.23,0.4,GJ 163,,
HD 95089 b,1.12925,10.97993333,1.729330556,1.38575,507,0.157,317,2454983,1.38,HD 95089,4.34001,4950
XO-3 b,13.0547,4.364640278,57.81716667,0.0477112,3.1915426,0.2884,346.3,2454024.728,1.41,XO-3,2.07898,6429
HD 114729 b,0.944758,13.21233333,-31.8726,2.10235,1114,0.167,93,2450520,0.998,HD 114729,1.46377,5820.94
Kepler-122 e,,19.40746111,39.94911111,0.221179,37.993273,,90,2454996.016,,Kepler-122,1.216,6050
Kepler-103 c,,19.26561111,40.06444444,0.64119,179.612,0,,,1.09,Kepler-103,1.44,5845
HD 100655 b,1.33352,11.58438611,20.44154722,0.682908,157.57,0.085,132,2453072.4,1.71,HD 100655,9.3,4801
Kepler-400 b,,19.3963,40.48003889,0.0848304,9.024389,,90,2454966.538,,Kepler-400,1.145,5886
Kepler-106 c,,20.05758333,44.3375,0.111348,13.5708,0,,,1,Kepler-106,1.04,5858
Kepler-113 b,,19.19985889,50.94433333,0.0502736,4.754,0,,,0.75,Kepler-113,0.69,4725
HD 142415 b,1.66194,15.96136667,-60.20000833,1.06061,386.29999,0.5,255,2451519,1.065,HD 142415,1.11902,5901.98
CoRoT-9 b,0.843564,18.71911389,6.204138889,0.406991,95.2738,0.11,37,2454591.853,0.99,CoRoT-9,0.94,5625
HD 114386 b,1.3637,13.17775556,-35.05399167,1.72685,937.70001,0.23,273,2450454,0.78,HD 114386,0.637212,4819.64
HD 103197 b,0.0982431,11.88140278,-50.29284167,0.249018,47.84,0,0,2454826,0.9,HD 103197,1.01561,5303
7 CMa b,2.43233,6.611388889,-19.25570833,1.80264,763,0.14,12,2455520,1.34,7 CMa,2.3,4761
Kepler-368 b,,19.45866944,45.38793056,0.175473,26.84768,,90,2454975.168,,Kepler-368,2.019,5502
Kepler-335 b,,19.73761944,45.42861944,0.0685981,6.562331,,90,2454965.606,,Kepler-335,1.854,5877
WASP-16 b,0.839364,14.31220056,-20.2755,0.0417858,3.1186009,0,90,2454584.429,1,WASP-16,0.946,5700
Kepler-316 b,,19.3884,44.18411111,0.0335097,2.240508,,90,2454970.822,,Kepler-316,0.52,4204
HD 152581 b,1.51375,16.89543889,11.97378333,1.48938,689,0,321,2455320,0.927,HD 152581,3.809,5155
KIC 11442793 h,,18.96223278,49.30513889,0.996347,331.60059,,,,1.2,KIC 11442793,1.2,6080
Kepler-103 b,0.030444,19.26561111,40.06444444,0.127704,15.9654,0,,,1.09,Kepler-103,1.44,5845
Kepler-338 b,,18.86526111,40.78435,0.112199,13.726976,,90,2454971.748,,Kepler-338,1.735,5923
Kepler-129 b,,19.02075,47.84856111,0.123186,15.79186,,90,2455009.822,,Kepler-129,1.641,5770
PH-1 b,,19.88100667,39.9551,0.629412,138.506,0.0539,348,2454970,1.734,PH-1,1.759,6407
Kepler-306 d,,19.23591111,40.61615,0.131044,17.326644,,90,2455193.509,,Kepler-306,0.719,4954
Kepler-37 d,0.0057744,18.93730722,44.51813889,0.212021,39.792187,0.102489,107.021,2455006.722,0.803,Kepler-37,0.77,5417
HD 13908 c,5.13,2.304036111,65.59445278,2.03386,931,0.12,185,2456165,1.29,HD 13908,1.67,6255
HD 125595 b,0.0416764,14.35656111,-40.39378333,0.0809437,9.6737,0,90,2454435.23,0.756,HD 125595,1.03336,4908
WASP-79 b,0.884655,4.424728056,-30.60041667,0.0534741,3.6623817,0,90,2455545.235,1.52,WASP-79,1.64,6600
Kepler-107 b,,19.80188056,48.20861111,0.0423212,3.179997,,90,2454966.499,,Kepler-107,1.411,5851
Kepler-109 c,,19.3595175,40.28488889,0.151991,21.2227,0,,,1.04,Kepler-109,1.32,5952
HIP 57274 c,0.410096,11.74471667,30.96021944,0.177758,32.03,0.05,356.2,2455785.208,0.73,HIP 57274,0.68,4640
Kepler-30 d,,19.01891,38.94727778,0.534239,143.343,0.022,197,2455171.827,0.99,Kepler-30,0.95,5498
Kepler-158 c,,18.93548056,39.78133056,0.18282,28.551383,,90,2455018.477,,Kepler-158,0.624,4623
HD 93083 b,0.368176,10.73916111,-33.57665556,0.476549,143.58,0.14,333.5,2453181.7,0.7,HD 93083,1.14863,4995
HD 31253 b,0.501427,4.912111111,12.35229722,1.26054,466,0.3,244,2450660,1.23,HD 31253,1.64612,5960
Kepler-357 c,,19.41621111,44.00871944,0.128672,16.85837,,90,2454975.343,,Kepler-357,0.834,5036
HD 89744 b,8.18778,10.36962778,41.22986667,0.902604,256.78,0.673,195.1,2451505.5,1.48,HD 89744,2.02329,6234
HD 183263 c,3.47646,19.47349444,8.358133334,4.29488,3066,0.23873,344.598,2451970.94,1.121,HD 183263,1.11717,5936.41
WASP-42 b,0.496749,12.86543639,-42.07358333,0.0547344,4.9816877,0,90,2455650.567,0.881,WASP-42,0.85,5200
Kepler-53 d,,19.36411944,40.56246111,0.0893308,9.751962,,90,2454971.785,,Kepler-53,0.958,6085
Kepler-48 b,0.0123287,19.94261417,40.949,0.0532027,4.778,0,,,0.88,Kepler-48,0.89,5194
HD 192310 c,0.0736073,20.25460556,-27.03253611,1.18358,525.8,0.32,110,2455311.915,0.8,HD 192310,0.847025,5166
HD 1690 b,6.52644,0.3537,-8.281163889,1.36191,533,0.64,122,2454449,1.18,HD 1690,21.1524,4364
HAT-P-41 b,0.799609,19.82151083,4.672416667,0.0425775,2.694047,0,90,2454983.862,1.418,HAT-P-41,1.683,6390
Kepler-42 c,,19.48126556,44.61933333,0.00585017,0.45328509,,,,0.13,Kepler-42,0.17,3068
HD 28185 b,5.79721,4.440630556,-10.550675,1.02341,379,0.05,44,2454230.5,0.99,HD 28185,1.00685,5656
HD 23127 b,1.40487,3.656541666,-60.07819167,2.31864,1214,0.44,190,2450229,1.127,HD 23127,1.51172,5752
HD 154672 b,5.00638,17.16802222,-56.44896667,0.598618,163.94,0.61,265,2453045.3,1.06,HD 154672,1.31501,5714
Kepler-275 d,,19.49865,38.51491944,0.212092,35.676062,,90,2454978.001,,Kepler-275,1.383,6165
Kepler-52 b,,19.11586889,49.97575,0.0630945,7.8773565,,,,0.54,Kepler-52,0.52,4075
OGLE-TR-10 b,0.626643,17.85784722,-29.87636111,0.0434856,3.10129,0,90,2452070.222,1.14,OGLE-TR-10,1.17,5950
Kepler-370 b,,19.47808056,40.91631111,0.0539702,4.57953,,90,2454968.097,,Kepler-370,0.9,5852
gamma Leo A b,10.3722,10.33282222,19.84186111,1.29554,428.5,0.144,206.7,2451236,1.57,gamma Leo A,27.4346,4428
NN Ser c,2.24099,15.88225861,12.91238889,6.15467,5571,0.22,39,2453155,,NN Ser,,
HAT-P-2 b,8.85612,16.34343611,41.04815556,0.0679088,5.6334729,0.5171,185.22,2454388.077,1.308,HAT-P-2,1.506,6290
HAT-P-24 b,0.685652,7.255005556,14.26258333,0.0465021,3.35524,0.067,197,2455214.549,1.191,HAT-P-24,1.317,6373
HD 11506 b,4.7347,1.8807,-19.50673611,2.60488,1405,0.3,262,2453603,1.19,HD 11506,1.26275,6058
tau Boo b,4.13,13.78778889,17.456775,0.0480039,3.312433,0.023,90,2455652.108,1.341,tau Boo,1.41847,6387.49
Kepler-124 c,,19.11685,49.06491111,0.112713,13.821375,,90,2454964.794,,Kepler-124,0.636,4984
Kepler-184 c,,19.46346111,43.07471111,0.145651,20.303005,,90,2455009.802,,Kepler-184,0.873,5788
HD 34445 b,0.790506,5.294716667,7.353705556,2.06642,1049,0.27,104,2453781,1.069,HD 34445,1.39357,5836
Kepler-318 b,,19.89885,46.79361944,0.0546218,4.662715,,90,2454967.082,,Kepler-318,1.189,5746
HD 125612 b,3.06805,14.34820833,-17.48136111,1.3728,559.40487,0.45899,41.4902,2454894.848,1.1,HD 125612,1.0426,5897
Kepler-20 f,,19.17986778,42.33869444,0.137859,19.57706,0,,2454968.219,0.912,Kepler-20,0.944,5466
Kepler-198 b,,19.37821111,38.69101111,0.13337,17.790037,,90,2455015.436,,Kepler-198,0.94,5574
42 Dra b,3.73203,18.43305278,65.56354722,1.16693,479.1,0.38,218.7,2452757.4,0.92,42 Dra,22.04,4200
Kepler-216 b,,19.58186944,46.12915,0.0762713,7.693641,,90,2455009.501,,Kepler-216,1.26,6091
Kepler-292 d,,19.71773889,42.42428056,0.0719945,7.055679,,90,2455014.91,,Kepler-292,0.826,5299
Kepler-53 b,,19.36411833,40.56244444,0.136705,18.6489525,,,,0.98,Kepler-53,0.89,5858
Kepler-11 b,,19.80767278,41.90911111,0.0914497,10.3039,0.045,45,2455588.553,0.961,Kepler-11,1.065,5663
HD 153950 b,2.74209,17.07521667,-43.309425,1.28031,499.4,0.34,308.2,2454502,1.12,HD 153950,1.15135,6076
Kepler-69 b,,19.55072917,44.86888889,0.104565,13.722341,0.16,,2454964.681,0.81,Kepler-69,0.93,5638
Kepler-27 c,,19.48245139,41.08586111,0.168484,31.3309,0,90,2454986.427,0.65,Kepler-27,0.59,5400
HD 16141 b,0.249652,2.588894445,-3.559538889,0.355656,75.523,0.252,42,2450338,1.052,HD 16141,2.05,5793.95
Kepler-221 c,,19.77698056,46.83526944,0.0623799,5.690586,,90,2455007.049,,Kepler-221,0.821,5243
Kepler-7 b,0.436942,19.23876778,41.08980556,0.0622369,4.885525,0,90,2454967.276,1.347,Kepler-7,1.843,5933
HIP 91258 b,1.068,18.614765,61.7025,0.0566534,5.0505,0.024,276,2456164.275,0.95,HIP 91258,1,5519
WASP-24 b,1.08429,15.14770528,2.343305556,0.0365155,2.3412127,0,90,2455081.379,1.184,WASP-24,1.331,6075
HAT-P-29 b,0.778006,2.208748333,51.77875,0.0666842,5.723186,0.095,169,2455198.664,1.207,HAT-P-29,1.224,6087
Kepler-38 b,,19.12202361,42.27919444,0.429659,105.595,0,,,0.949,Kepler-38,1.757,5623
HD 204313 d,1.60642,21.47005,-21.72559444,3.94498,2831.6,0.28,247,2446376.9,1.02,HD 204313,,5767
PSR B1257+12 B,,13.00099361,12.68233333,0.321369,66.5419,0.0186,250.4,2449768.1,,PSR B1257+12,,
Kepler-147 b,,19.19838056,39.08718056,0.10603,12.610584,,90,2454971.19,,Kepler-147,1.468,6012
HD 50554 b,4.39876,6.911902777,24.24579167,2.26097,1224,0.444,7.4,2450646,1.025,HD 50554,1.25271,5928.79
HD 11964 c,0.0770689,1.952727778,-10.24183611,0.226601,37.910254,0.301733,101.941,2454366.648,1.08,HD 11964,1.76025,5372
Kepler-79 d,,20.03448056,44.38158056,0.272969,52.09059,,90,2454991.745,,Kepler-79,1.403,6189
Kepler-344 c,,19.49998056,46.32441111,0.490824,125.596809,,90,2455048.442,,Kepler-344,0.976,5774
HD 13189 b,7.12332,2.161158333,32.31642222,1.25186,471.6,0.27,160.7,2452327.9,1.17,HD 13189,32.3233,4337
